time_seconds,mode,font_size,color,timestamp,pool,user_hash,danmaku_id,raw_text,clean_text,normalized_text,is_duplicate_like,is_spam_like,is_symbol_only,text_length,priority_score,evidence_weight
9.981,1,25,#FFFFFF,1763265204,0,d3b51c1e,1981171140202825216,uzi尴尬跑了,uzi尴尬跑了,uzi尴尬跑了,False,False,False,7,2.933,2.933
10.283,5,25,#E70012,1764094730,0,ff3560a2,1988129716192216576,再见，gumayusi，再见，dofgk……,再见，gumayusi，再见，dofgk……,再见，gumayusi，再见，dofgk……,False,False,False,22,4.433,4.433
11.109,1,25,#FFFFFF,1763176383,0,b86d4594,1980426062689738240,没有战歌吗,没有战歌吗,没有战歌吗,False,False,False,5,2.767,2.767
11.397,5,25,#FFFFFF,1776790056,0,da460148,2094625826510702336,EARN YOUR LEGACY,EARN YOUR LEGACY,earnyourlegacy,True,False,False,16,3.583,2.1161775190831644
11.397,5,25,#FFFFFF,1776790094,0,da460148,2094626142585029120,MAKE THEM BELIEVE&EARN YOUR LEGACY,MAKE THEM BELIEVE&EARN YOUR LEGACY,makethembelieve&earnyourlegacy,False,False,False,34,4.25,4.25
11.397,5,25,#FFFFFF,1776790044,0,da460148,2094625723615556352,EARN YOUR LEGACY,EARN YOUR LEGACY,earnyourlegacy,True,False,False,16,3.583,2.1161775190831644
11.537,1,25,#FFFFFF,1777445303,0,e3de8f85,2100122436258983680,知道结果根本不慌,知道结果根本不慌,知道结果根本不慌,False,False,False,8,3.017,3.017
12.026,1,25,#00CD00,1763300013,0,327f2f46,1981463143913689344,能阻止faker的只有杨景媛,能阻止faker的只有杨景媛,能阻止faker的只有杨景媛,True,True,False,14,2.717,0.8226888705346974
12.436,1,25,#E70012,1766320435,0,d104b597,2006800279655383552,再见了gumayusi,再见了gumayusi,再见了gumayusi,False,False,False,11,3.267,3.267
12.656,1,25,#FFFFFF,1765009785,0,374fbde0,1995805749380786432,重温经典,重温经典,重温经典,False,False,False,4,2.683,2.683
13.073,1,25,#FFFFFF,1780981117,0,da460148,2129782994427517184,★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★,★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★,★t1fighting★★t1fighting★★t1fighting★★t1fighting★★t1fighting★,True,False,False,65,3.0,1.7718483274489236
15.618,1,25,#84C0CB,1780981125,0,da460148,2129783059464429568,★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★,★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★★T1 FIGHTING★,★t1fighting★★t1fighting★★t1fighting★★t1fighting★★t1fighting★,True,False,False,65,3.0,1.7718483274489236
16.16,1,25,#009843,1774843592,0,b7c9c0b7,2078297703942597376,Team 1st,Team 1st,team1st,False,False,False,8,2.667,2.667
16.248,1,25,#FFFFFF,1777537368,0,f016fe06,2100894731206328832,uzi偷奖杯去了,uzi偷奖杯去了,uzi偷奖杯去了,False,False,False,8,3.017,3.017
16.482,1,25,#FFFFFF,1765102489,0,73a7f735,1996583408406718464,细节 KTV,细节 KTV,细节ktv,False,False,False,6,2.85,2.85
17.575,1,25,#FFFFFF,1762863647,0,5e52390c,1977802642072293120,战歌呢？？？,战歌呢？？？,战歌呢？？？,False,False,False,6,3.3,3.3
17.96,1,25,#FFFFFF,1764003775,0,b798b89c,1987366730200025600,现场放的战歌，这里被记得念的广告词盖住了,现场放的战歌，这里被记得念的广告词盖住了,现场放的战歌，这里被记得念的广告词盖住了,False,False,False,20,4.017,4.017
18.697,1,25,#CC0273,1763300020,0,327f2f46,1981463200084205824,能阻止faker的只有杨景媛,能阻止faker的只有杨景媛,能阻止faker的只有杨景媛,True,True,False,14,2.717,0.8226888705346974
19.245,1,25,#FFFFFF,1762866588,0,5091e151,1977827308555864832,战歌呢！！！！！！,战歌呢！！！！！！,战歌呢！！！！！！,False,False,False,9,3.1,3.1
19.34,1,25,#FFFFFF,1768746234,0,2de19608,2027149355672832000,rita,rita,rita,False,False,False,4,2.333,2.333
19.535,1,25,#FFFFFF,1767250840,0,2799c2fc,2014605083815415040,不如原战歌,不如原战歌,不如原战歌,False,False,False,5,2.767,2.767
20.087,1,25,#FFFFFF,1764070600,0,c1def69b,1987927298426472192,6冠,6冠,6冠,False,False,False,2,1.517,1.517
22.056,1,25,#FFFFFF,1770303674,0,d3655694,2040214113040433408,我的guma,我的guma,我的guma,False,False,False,6,2.85,2.85
22.645,1,25,#FFFFFF,1765718548,0,3debff87,2001751281316096000,六冠王牛逼,六冠王牛逼,六冠王牛逼,False,False,False,5,3.217,3.217
23.363,1,25,#FFFFFF,1763230687,0,f6411377,1980881590326153472,我神呢,我神呢,我神呢,False,False,False,3,1.6,1.6
23.452,1,25,#FFFFFF,1763264685,0,f5045826,1981166792613830400,左边这个是澹台镜吗？,左边这个是澹台镜吗？,左边这个是澹台镜吗？,False,False,False,10,3.633,3.633
24.532,1,25,#FFFFFF,1763637658,0,b3063a6c,1984295514346846720,这时候uzi去哪了？,这时候uzi去哪了？,这时候uzi去哪了？,False,False,False,10,3.633,3.633
25.235,1,25,#FFFFFF,1765475969,0,ff526e3b,1999716381922305280,李哥,李哥,李哥,True,False,False,2,1.517,0.8959646375800057
25.966,1,25,#FFFFFF,1767350394,0,d436bdd1,2015440204932110592,姐姐太美辣！我超喜欢！,姐姐太美辣！我超喜欢！,姐姐太美辣！我超喜欢！,False,False,False,11,3.267,3.267
29.501,1,25,#FFFFFF,1762824338,0,96caec29,1977472894062349056,罗云熙每年都在啊，最经典的是18年IG夺冠,罗云熙每年都在啊，最经典的是18年IG夺冠,罗云熙每年都在啊，最经典的是18年ig夺冠,False,False,False,21,4.1,4.1
30.62,1,25,#FFFFFF,1762794232,0,6755a779,1977220343701576960,澡子偷奖杯去了！,澡子偷奖杯去了！,澡子偷奖杯去了！,False,False,False,8,3.017,3.017
38.139,1,25,#FFFFFF,1763599281,0,523ed15c,1983973583236002048,UZI捧杯去了,UZI捧杯去了,uzi捧杯去了,False,False,False,7,2.933,2.933
38.578,1,25,#FFFFFF,1779892159,0,794564bf,2120648149500051456,\,\,\,True,False,True,1,0.083,0.1
39.774,1,25,#FFFFFF,1763230218,0,76e5b254,1980877661698331392,神去这么久吗,神去这么久吗,神去这么久吗,False,False,False,6,2.85,2.85
40.126,1,25,#FFFFFF,1763215619,0,c1643147,1980755197517419520,塔子姐,塔子姐,塔子姐,False,False,False,3,1.6,1.6
44.186,1,25,#FFFFFF,1763959055,0,df64dfab,1986991590073725952,说没有战歌版权的弹幕，你无敌了,说没有战歌版权的弹幕，你无敌了,说没有战歌版权的弹幕，你无敌了,False,False,False,15,3.6,3.6
50.92,1,25,#FFFFFF,1765476006,0,ff526e3b,1999716692007516416,李哥,李哥,李哥,True,False,False,2,1.517,0.8959646375800057
53.743,1,25,#FFFFFF,1763276392,0,42a171f4,1981264996202210048,手游乱斗玩着确实爽,手游乱斗玩着确实爽,手游乱斗玩着确实爽,False,False,False,9,3.1,3.1
54.279,1,25,#FFFFFF,1765894742,0,4579d035,2003229308470100480,我听了 是战歌 但这个战歌不配是战歌,我听了 是战歌 但这个战歌不配是战歌,我听了是战歌但这个战歌不配是战歌,False,False,False,18,3.85,3.85
57.401,5,25,#FFFFFF,1778693942,0,da460148,2110596782072583680,✦T1 FIGHTING！✦T1 FIGHTING！✦T1 FIGHTING！✦,✦T1 FIGHTING！✦T1 FIGHTING！✦T1 FIGHTING！✦,✦t1fighting！✦t1fighting！✦t1fighting！✦,True,False,False,40,4.25,2.0251477716721435
58.624,1,25,#FFFFFF,1777082363,0,e59f47bd,2097077871633010432,姓罗的玩意怎么不笑了，天生不爱笑是吗,姓罗的玩意怎么不笑了，天生不爱笑是吗,姓罗的玩意怎么不笑了，天生不爱笑是吗,False,False,False,18,4.3,4.3
59.227,5,25,#FFFFFF,1778693955,0,da460148,2110596883642029312,✦T1 FIGHTING！✦T1 FIGHTING！✦T1 FIGHTING！✦,✦T1 FIGHTING！✦T1 FIGHTING！✦T1 FIGHTING！✦,✦t1fighting！✦t1fighting！✦t1fighting！✦,True,False,False,40,4.25,2.0251477716721435
59.227,5,25,#FFFFFF,1778693949,0,da460148,2110596837454241280,✦T1 FIGHTING！✦T1 FIGHTING！✦T1 FIGHTING！✦,✦T1 FIGHTING！✦T1 FIGHTING！✦T1 FIGHTING！✦,✦t1fighting！✦t1fighting！✦t1fighting！✦,True,False,False,40,4.25,2.0251477716721435
60.819,1,25,#002E72,1765476030,0,ff526e3b,1999716898719190272,还得是你,还得是你,还得是你,False,False,False,4,2.683,2.683
66.963,1,25,#FFFFFF,1765017666,0,5aa95c1b,1995871857517619968,手游只有乱斗能玩,手游只有乱斗能玩,手游只有乱斗能玩,False,False,False,8,3.017,3.017
67.944,1,25,#FFFFFF,1767350470,0,d436bdd1,2015440838456386304,她笑起来好美，妈呀！,她笑起来好美，妈呀！,她笑起来好美，妈呀！,False,False,False,10,3.633,3.633
75.854,1,25,#FFFFFF,1763286895,0,c0650a03,1981353103639318016,这里以为记得停顿了，就放广告了呗，感觉也很正常,这里以为记得停顿了，就放广告了呗，感觉也很正常,这里以为记得停顿了，就放广告了呗，感觉也很正常,False,False,False,23,4.267,4.267
75.914,5,25,#FFFF00,1762961519,0,13d68831,1978623647065871104,这里真的没蚌住,这里真的没蚌住,这里真的没蚌住,False,False,False,7,3.183,3.183
78.831,1,25,#FFFFFF,1763282593,0,a3693079,1981317009757508864,三国杀！,三国杀！,三国杀！,False,False,False,4,2.683,2.683
79.969,1,25,#FFFFFF,1763266177,0,d6f7d3b3,1981179307233495552,？,？,？,True,True,True,1,0.0,0.1
81.583,1,25,#FFFFFF,1771518033,0,278105d9,2050400889000834816,？,？,？,True,True,True,1,0.0,0.1
81.812,1,25,#FFFFFF,1778257641,0,da7757fa,2106936820725073408,我其实还好,我其实还好,我其实还好,False,False,False,5,3.217,3.217
83.483,1,25,#FFFFFF,1762775847,0,be6f9d23,1977066115914389760,导播笑死我了，解说话还没说完呢.,导播笑死我了，解说话还没说完呢.,导播笑死我了，解说话还没说完呢.,False,False,False,16,4.133,4.133
84.606,1,25,#FFFFFF,1764003895,0,b798b89c,1987367733091855616,广告还是要放的，舒服,广告还是要放的，舒服,广告还是要放的，舒服,False,False,False,10,3.183,3.183
86.414,1,25,#FFFFFF,1767190613,0,d33c6d92,2014099864178342144,这么突然吗,这么突然吗,这么突然吗,False,False,False,5,2.767,2.767
87.006,1,25,#FFFFFF,1773071834,0,d47461dc,2063435119771203072,怎么直接切了,怎么直接切了,怎么直接切了,False,False,False,6,2.85,2.85
88.414,1,25,#FFFFFF,1763727424,0,1d45f51f,1985048528564860672,扫万一,扫万一,扫万一,False,False,False,3,1.6,1.6
89.471,1,25,#FFFFFF,1763538171,0,4c3c37cf,1983460955812175360,其实啥啊,其实啥啊,其实啥啊,False,False,False,4,2.683,2.683
89.883,1,25,#FFFFFF,1764044807,0,edcc985e,1987710928384782848,小心川渝暴龙！,小心川渝暴龙！,小心川渝暴龙！,False,False,False,7,2.933,2.933
90.044,1,25,#FFFFFF,1763457014,0,b920194f,1982780166292402176,这弹幕笑死我了 全是问号,这弹幕笑死我了 全是问号,这弹幕笑死我了全是问号,False,False,False,12,3.8,3.8
90.146,1,25,#FFFFFF,1763655170,0,744a064d,1984442411925148672,一群他吗美颜比,一群他吗美颜比,一群他吗美颜比,False,False,False,7,2.933,2.933
91.22,1,25,#FFFFFF,1763227039,0,6f76affb,1980850995295092736,？？？？,？？？？,？？？？,True,True,True,4,2.783,1.6436846317634515
